.model,RMSE,MAE,MAPE,MASE
arima_d0,96417.21459189207,76735.3532151553,9.242731333916842,0.5911270668499093
arima,97183.59759408007,78165.7059863758,9.529774631634204,0.6021457199580993
arimax,97271.18174934013,78147.59187782645,9.527270634622258,0.6020061788025987
ets,100670.88559267813,81664.76491285802,10.074804143403789,0.6291005504668863
naive,126457.99039605811,96391.86666666665,11.850913872954752,0.7425500636074567
snaive,145228.43626825916,110913.0380952381,13.679138596919348,0.854413202488543
