combo,.model,RMSE,MAE,MAPE,MASE
C13-M1885,arima,489.1559511728086,373.9516074656489,12.43415037712867,0.5938806310324485
C13-M2290,arima,313.6315188421,255.71747074262166,13.7432472303296,0.251014724991279
C13-M2707,arima,161.45781157505064,134.61383699674553,7.194823089616037,0.20631806460704435
C157-M1885,arima,670.2300801692181,636.8625485978454,152.67274094969758,0.6402411706792612
C174-M1885,arima,176.69417830461538,158.0421353357213,8.216371005711816,0.2853801203712578
C43-M2290,arima,480.53056075847184,365.28444728133485,22.022714665908683,0.22614857811025105
C13-M1885,arimax,616.4309769146116,448.73260324903964,14.822344422960779,0.7126419468777201
C13-M2290,arimax,443.6368694507068,373.75120487361846,16.65225293842358,0.3668777719178089
C13-M2707,arimax,193.0567374815997,137.0178544354801,6.773134911514752,0.21000262064011616
C157-M1885,arimax,1239.325141408968,1166.6539499741593,276.7180981383589,1.1728431705609752
C174-M1885,arimax,161.38864011859025,138.33595853207152,7.175516960555676,0.24979624840991918
C43-M2290,arimax,833.7745263580222,756.2333504341229,38.65528463897291,0.46818608947922447
C13-M1885,snaive,893.5144095088785,742.2,25.039233903942417,1.178703863153665
C13-M2290,snaive,1342.1692516221642,898.1,43.259478542870156,0.8815835846490451
C13-M2707,snaive,608.5601038517067,536.8,29.70133811288973,0.8227351626841971
C157-M1885,snaive,2380.7194920863735,2019.7,505.4062360600947,2.030414718635692
C174-M1885,snaive,300.63948509801565,272.7,13.752485944382938,0.49242031980854994
C43-M2290,snaive,1687.273510726699,1339.5,75.1489829788023,0.829288031924813
