lectura,beta,r2,correlacion
Agrupada (compara productos entre sí),1.7638731199018547,0.027034208406338963,0.164420827167101
Intra-producto (compara cada producto consigo mismo),2.6274327587034616,0.19276594431921623,0.4390511864455316
