.model,RMSE_ventana,RMSE_cv
arima_d0,97142.75264221085,96417.21459189207
arima,117587.096935485,97183.59759408007
arimax,73683.5400061483,97271.18174934013
ets,149265.4775555044,100670.88559267813
naive,54794.231088683046,126457.99039605811
snaive,115160.68151456902,145228.43626825916
sarima,117587.096935485,NA
