.model,MASE_promedio,MAPE_promedio,veces_mejor
arimax,0.4814778666265119,13.671254487390637,9
ets,0.7651301302138579,36.60341108161201,1
arima,0.7817535850619687,33.829431408218724,2
snaive,1.100388385506658,41.683979337800714,0
