.model,sigma2,log_lik,AIC,AICc,BIC
arimax,0.012007435016692337,110.49357315757717,-204.98714631515435,-203.8442891722972,-181.74494808764692
arima_d0,0.021579073111552938,69.92021444287238,-125.84042888574476,-124.95853912196523,-105.50350543667575
arima,0.023291497197932675,61.62440990601715,-117.2488198120343,-117.06420442741891,-108.55530041218157
sarima,0.023291497197932675,61.62440990601715,-117.2488198120343,-117.06420442741891,-108.55530041218157
ets,0.0238670228853636,-76.94593344701005,163.8918668940201,164.35698317308987,178.41824078621224
naive,24562540995.186005,NA,NA,NA,NA
snaive,28488607300.548347,NA,NA,NA,NA
