.model,RMSE,MAE,MAPE,MASE
naive,54794.231088683046,41012.8,5.802024469307362,0.3090506698532318
arimax,73683.5400061483,63630.823847631866,8.799051993823122,0.4794880801462866
arima_d0,97142.75264221085,80944.68978315181,11.336311605907607,0.609956174622194
snaive,115160.68151456902,96149.5,13.359420058068512,0.7245315457870057
arima,117587.096935485,107684.10685677416,14.88343797531381,0.8114502144850642
sarima,117587.096935485,107684.10685677416,14.88343797531381,0.8114502144850642
ets,149265.4775555044,142286.68541917854,19.526497304526682,1.0721968614674735
