combo,.model,term,estimate,std.error,statistic,p.value,efecto_pct
C13-M1885,arimax,Descuento de 100 p.p.,0.16407030426002792,0.31259590246933516,0.5248638992512795,0.6005386712905063,17.82971514901408
C13-M1885,arimax,Campaña de email,0.15159267297995746,0.15820858209006652,0.9581823626587924,0.33968366414784057,16.368613907504127
C13-M1885,arimax,Destaque en home,0.17395234935677553,0.041708160300292604,4.170703001627122,5.4005270289324256e-5,18.999886025821745
C13-M2290,arimax,Descuento de 100 p.p.,0.634325732110605,0.27233629947645954,2.3292000858131487,0.02133276847092935,88.57502118809994
C13-M2290,arimax,Campaña de email,0.8365496054906153,0.08452207692497468,9.897409480758164,1.0617463292507817e-17,130.8388369469706
C13-M2290,arimax,Destaque en home,0.28028595596685923,0.10838400044349422,2.5860454939840105,0.010767884490663062,32.350822330406245
C13-M2707,arimax,Descuento de 100 p.p.,0.9967127357826445,0.37824972820666164,2.6350653059506697,0.00939595719509939,170.9360788812344
C13-M2707,arimax,Campaña de email,0.15952751032790063,0.09884766348735706,1.6138723435613096,0.108890153856071,17.295653019563375
C13-M2707,arimax,Destaque en home,0.007846483828933323,0.10189418241417043,0.07700620038384165,0.9387326228155265,0.7877348155840957
C157-M1885,arimax,Descuento de 100 p.p.,0.9388848324949316,0.7105939763732234,1.3212676489137638,0.18864713191818303,155.71282014410392
C157-M1885,arimax,Campaña de email,0.10380793672029126,0.16187105013478162,0.6413001993491473,0.5224149248585868,10.938736187737419
C157-M1885,arimax,Destaque en home,0.030361828772392057,0.10171748221963138,0.29849174507518683,0.7657868239084716,3.0827449514264416
C174-M1885,arimax,Descuento de 100 p.p.,1.049786531776288,0.3508286670737042,2.9923054479346254,0.003292968524700122,185.70411654600682
C174-M1885,arimax,Campaña de email,-0.0762792690184779,0.12003290100104823,-0.6354863406809751,0.5261870076082549,-7.34425883545502
C174-M1885,arimax,Destaque en home,0.07020144991742946,0.043600551209177545,1.610104642499397,0.10971083767654745,7.27242597025346
C43-M2290,arimax,Descuento de 100 p.p.,2.3498718252660726,0.329030374798765,7.141808189299406,5.169512605950918e-11,948.4225825746817
C43-M2290,arimax,Campaña de email,0.794650333806309,0.11272337596593487,7.049561166855517,8.402492279366817e-11,121.36668170097073
C43-M2290,arimax,Destaque en home,0.1678402147136216,0.11442501752006949,1.4668139743494764,0.1447523283156656,18.274760988288374
